12CM Global PTE. LTD.,Telecommunications & utilities
2S Water Incorporated,"Environment, energy & clean tech"
3D Bioprinting - Frontier Bio,Medtech & pharma
3D Planeta,Big data & analytics
3t International GmbH,Security
4Dage,Al & machine learning
6Degrees,Entertainment & media
fit,"Sports, fitness & wellness"
@cansei_vendi,eCommerce & retail
"A.V. Mapping Co., LTD",Al & machine learning
AC Biode,"Environment, energy & clean 1",,—_—
Acatena AG,ech eCommerce & retail
Accelerate3D,Hardware & loT
Acoutera Renovations,eCommerce & retail
ACTLD,Entertainment & media
ActualConversion inc.,Advertising. content & marketing
Adadot,Enterprise software solutions
ADDED,Hardware & loT
adELA,"Advertising, content & marketing"
Adeo PWA,eCommerce & retail
adesoft,Enterprise software solutions
"ADIPTA, Inc.",Al & machine learning
Agnostiq,Security
Agrikaido,"Environment, energy & clean tect"
Agrology,Al & machine learning
Al ALFRED,Enterprise software solutions
Al Music,Al & machine learning
Al On The Fly Technologies Pvt ...,Al & machine learning
AI2BIZ LAB,Al & machine learning
Al4Creative,Al & machine learning
Aibion Technologies,Medtech & pharma
Aidmics Biotechnology,Hardware & loT
Aimsio,Enterprise software solutions
indo,Al & machine learning
Airborne App,Advertising. content & marketing
AiZtech Inc.,Al & machine learning
Albicchiere,Hardware & loT
Alexsei,Al & machine learning,,———————
AlignVR,HR & recruitment,,|
aLocal Al,Travel & hospitality
Alpha Affinity,Big data & analytics
ALTRGO Limited,Travel & hospitality
Amber,Fintech
ANATA,Gaming. VR & AR
Anjali Leadership Inc.,Sports. fitness & wellness
Antip.io,Al & machine learning
Apino Turismo,Travel & hospitality
App Sec.cl,Enterprise software solutions
Appgent Technologies LLC,eCommerce & retail
Apres,Big data & analytics
Aquafort,"Environment, energy & clean tect"
Aqualit,"Environment, energy & clean tech"
AquaRealTime,"Environment, energy & clean tech"
Arcadia,"Sports, fitness & wellness"
Archimigo,Security
Artcryption,Entertainment & media
Artem Operandi,eCommerce & retail
ARTPOT,eCommerce & retail
ArtRatio,Hardware & loT
ARV,Social media & networking
Ask Attis,Al & machine learning
Ask Brien Inc,Education
AssetFlo Inc.,Hardware & loT
AudioTherapy,Medtech & pharma
Aumhum,"Sports, fitness & wellness"
AutoBuddy Technologies Inc.,Autotech
AutoGuardian by SmartCone,Hardware & loT
"Autokitch, LLC",Consumer goods
Autologyx,Legal & consultancy
Avalon Holographics,"Gaming, VR & AR"
awarewear,"Sports, fitness & wellness"
AWorld,"Environment, energy & clean tect"
AXIOM,Ediication
AZELL FT,Fintech
B2Storefront,eCommerce & retail
Back,Enterprise software solutions
Banjo Robinson,Education
"Bai ero,",Hardware & loT
BBox Sports,"Sports, fitness & wellness"
BCASH™,Fintech
Beam.city inc,"Advertising, content & marketing"
beautynbrushes,Social media & networking
Beelivery,Consumer goods
Beez,Fintech
BeltecHub Technologies Inc.,eCommerce & retail
Beme Creation,Al & machine learning
BeSeated Inc.,Travel & hospitality
Betmarkets,Fintech
betterthanPeter,Social media & networking
Betterworth,Fintech
BEYOND THE BOX,Education
Bhasha Life,eCommerce & retail
bickr,Social media & networking
ig Blue People,eCommerce & retail
Big Eyes for Math,Education
Big Shot Analytics,"Sports, fitness & wellness"
"BILDIT, LLC.",Enterprise software solutions
"Binary Bridge, SBC",Medtech & pharma
BioBox,Medtech & pharma
Biolnteractive Technologies,Medtech & pharma
Biomatcan,Medtech & pharma
Bionic-i,Medtech & pharma
BIOSOLVIT,"Environment, energy & clean tech"
Birdi,eCommerce & retail
Birdie,Al & machine learning
BisRing INC.,"Advertising, content & marketing"
bitsensing Inc.,Al & machine learning
